# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,EHDWLXDSER,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,24,33
# x,y,z,u,w
1.500000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.471362128321045626e+00, 0.000000000000000000e+00, -3.315668636273211983e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.430196576317214419e+00, 0.000000000000000000e+00, -7.968575505830053501e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
1.372242485875276197e+00, 0.000000000000000000e+00, -1.429918029345177144e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.293002028707001205e+00, 0.000000000000000000e+00, -2.255563470403128615e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
1.188878731264195965e+00, 0.000000000000000000e+00, -3.272384575429258119e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
1.058978473314433622e+00, 0.000000000000000000e+00, -4.430421157596614590e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
9.070141549047583407e-01, 0.000000000000000000e+00, -5.613793177083652164e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
7.420498637548958998e-01, 0.000000000000000000e+00, -6.643391200692458365e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
5.769044271527021817e-01, 0.000000000000000000e+00, -7.318542616255038769e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
4.244960254467778915e-01, 0.000000000000000000e+00, -7.493857642445601874e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
2.941373982441263801e-01, 0.000000000000000000e+00, -7.141670166034680411e-02, 1.000000000000000000e+00, 1.586533649582798411e+00
1.898367547700601232e-01, 0.000000000000000000e+00, -6.343430489497396685e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.109769489516035934e-01, 0.000000000000000000e+00, -5.223399556649556408e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
5.431335023876193019e-02, 0.000000000000000000e+00, -3.866555263593315223e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
1.639003799623891047e-02, 0.000000000000000000e+00, -2.227432547129229445e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
1.639003799623831373e-02, 0.000000000000000000e+00, 2.227432547129190588e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
5.431335023876161100e-02, 0.000000000000000000e+00, 3.866555263593306202e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
1.109769489516031493e-01, 0.000000000000000000e+00, 5.223399556649548081e-02, 1.000000000000000000e+00, 2.172260364380927733e+00
1.898367547700599012e-01, 0.000000000000000000e+00, 6.343430489497395297e-02, 1.000000000000000000e+00, 2.276535875536843889e+00
2.941373982441256585e-01, 0.000000000000000000e+00, 7.141670166034676248e-02, 1.000000000000000000e+00, 2.413466350417201589e+00
4.244960254467773364e-01, 0.000000000000000000e+00, 7.493857642445600487e-02, 1.000000000000000000e+00, 2.584161237591246607e+00
5.769044271527015155e-01, 0.000000000000000000e+00, 7.318542616255038769e-02, 1.000000000000000000e+00, 2.783663390284290440e+00
7.420498637548953447e-01, 0.000000000000000000e+00, 6.643391200692461140e-02, 1.000000000000000000e+00, 3.000000000000000000e+00
9.070141549047574525e-01, 0.000000000000000000e+00, 5.613793177083658409e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
1.058978473314432733e+00, 0.000000000000000000e+00, 4.430421157596625692e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
1.188878731264195521e+00, 0.000000000000000000e+00, 3.272384575429265058e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
1.293002028707000539e+00, 0.000000000000000000e+00, 2.255563470403134513e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
1.372242485875273088e+00, 0.000000000000000000e+00, 1.429918029345225022e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
1.430196576317210422e+00, 0.000000000000000000e+00, 7.968575505830766473e-03, 1.000000000000000000e+00, 3.904044169930655173e+00
1.471362128321042517e+00, 0.000000000000000000e+00, 3.315668636273746278e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
1.500000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.540884250084248563e+00, 6.322140382178774443e-02, 0.000000000000000000e+00, 1.044679437329885330e+00, 0.000000000000000000e+00
1.513099394400588160e+00, 6.322140382178774443e-02, -3.216907163579188576e-03, 1.044679437329885330e+00, 4.173311976788848798e-02
1.473160011530693980e+00, 6.322140382178774443e-02, -7.731221192549258582e-03, 1.044679437329885330e+00, 9.595583006934514658e-02
1.416932158523362961e+00, 6.322140382178774443e-02, -1.387326074025843105e-02, 1.044679437329885330e+00, 1.722603643809275942e-01
1.340051980715115665e+00, 6.322140382178774443e-02, -2.188378599256825263e-02, 1.044679437329885330e+00, 2.765358755368439447e-01
1.239030130167428245e+00, 6.322140382178774443e-02, -3.174912374391141573e-02, 1.044679437329885330e+00, 4.134663504172014781e-01
1.112999119173800899e+00, 6.322140382178774443e-02, -4.298455341292723580e-02, 1.044679437329885330e+00, 5.841612375912467181e-01
9.655612542579682378e-01, 6.322140382178774443e-02, -5.446579096791354102e-02, 1.044679437329885330e+00, 7.836633902842906618e-01
