# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,ZBCSUSXMNM,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,24,33
# x,y,z,u,w
2.000000000000000111e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.961816171094721839e-01, 0.000000000000000000e+00, -4.420891515030950648e-04, 1.000000000000000000e+00, 4.173311976788848798e-02
1.906928768422944953e-01, 0.000000000000000000e+00, -1.062476734110673858e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
1.829656647833698413e-01, 0.000000000000000000e+00, -1.906557372460237045e-03, 1.000000000000000000e+00, 1.722603643809275942e-01
1.724002704942668995e-01, 0.000000000000000000e+00, -3.007417960537505080e-03, 1.000000000000000000e+00, 2.765358755368439447e-01
1.585171641685595434e-01, 0.000000000000000000e+00, -4.363179433905679631e-03, 1.000000000000000000e+00, 4.134663504172014781e-01
1.411971297752578347e-01, 0.000000000000000000e+00, -5.907228210128819337e-03, 1.000000000000000000e+00, 5.841612375912467181e-01
1.209352206539678065e-01, 0.000000000000000000e+00, -7.485057569444869552e-03, 1.000000000000000000e+00, 7.836633902842906618e-01
9.893998183398614032e-02, 0.000000000000000000e+00, -8.857854934256611384e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
7.692059028702694090e-02, 0.000000000000000000e+00, -9.758056821673386644e-03, 1.000000000000000000e+00, 1.216336609715709338e+00
5.659947005957038924e-02, 0.000000000000000000e+00, -9.991810189927469860e-03, 1.000000000000000000e+00, 1.415838762408753171e+00
3.921831976588352475e-02, 0.000000000000000000e+00, -9.522226888046242399e-03, 1.000000000000000000e+00, 1.586533649582798411e+00
2.531156730267468402e-02, 0.000000000000000000e+00, -8.457907319329861784e-03, 1.000000000000000000e+00, 1.723464124463156111e+00
1.479692652688048039e-02, 0.000000000000000000e+00, -6.964532742199407676e-03, 1.000000000000000000e+00, 1.827739635619072267e+00
7.241780031834922464e-03, 0.000000000000000000e+00, -5.155407018124419372e-03, 1.000000000000000000e+00, 1.904044169930654951e+00
2.185338399498520847e-03, 0.000000000000000000e+00, -2.969910062838971958e-03, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.185338399498441483e-03, 0.000000000000000000e+00, 2.969910062838921651e-03, 1.000000000000000000e+00, 2.041733119767888294e+00
7.241780031834882565e-03, 0.000000000000000000e+00, 5.155407018124409831e-03, 1.000000000000000000e+00, 2.095955830069344827e+00
1.479692652688041621e-02, 0.000000000000000000e+00, 6.964532742199398135e-03, 1.000000000000000000e+00, 2.172260364380927733e+00
2.531156730267465627e-02, 0.000000000000000000e+00, 8.457907319329860049e-03, 1.000000000000000000e+00, 2.276535875536843889e+00
3.921831976588342761e-02, 0.000000000000000000e+00, 9.522226888046237195e-03, 1.000000000000000000e+00, 2.413466350417201589e+00
5.659947005957030597e-02, 0.000000000000000000e+00, 9.991810189927469860e-03, 1.000000000000000000e+00, 2.584161237591246607e+00
7.692059028702687151e-02, 0.000000000000000000e+00, 9.758056821673386644e-03, 1.000000000000000000e+00, 2.783663390284290440e+00
9.893998183398605706e-02, 0.000000000000000000e+00, 8.857854934256614854e-03, 1.000000000000000000e+00, 3.000000000000000000e+00
1.209352206539676955e-01, 0.000000000000000000e+00, 7.485057569444876491e-03, 1.000000000000000000e+00, 3.216336609715709116e+00
1.411971297752576404e-01, 0.000000000000000000e+00, 5.907228210128834082e-03, 1.000000000000000000e+00, 3.415838762408752949e+00
1.585171641685594601e-01, 0.000000000000000000e+00, 4.363179433905686570e-03, 1.000000000000000000e+00, 3.586533649582798411e+00
1.724002704942667608e-01, 0.000000000000000000e+00, 3.007417960537513320e-03, 1.000000000000000000e+00, 3.723464124463156111e+00
1.829656647833700911e-01, 0.000000000000000000e+00, 1.906557372460300579e-03, 1.000000000000000000e+00, 3.827739635619072267e+00
1.906928768422954112e-01, 0.000000000000000000e+00, 1.062476734110769051e-03, 1.000000000000000000e+00, 3.904044169930655173e+00
1.961816171094728500e-01, 0.000000000000000000e+00, 4.420891515031664053e-04, 1.000000000000000000e+00, 3.958266880232111262e+00
2.000000000000000111e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
2.223397186649426760e-01, 2.233971866494266489e-02, 0.000000000000000000e+00, 1.044679437329885330e+00, 0.000000000000000000e+00
2.185213357744148488e-01, 2.233971866494266489e-02, -4.420891515030950648e-04, 1.044679437329885330e+00, 4.173311976788848798e-02
2.130325955072371324e-01, 2.233971866494266489e-02, -1.062476734110673858e-03, 1.044679437329885330e+00, 9.595583006934514658e-02
2.053053834483125062e-01, 2.233971866494266489e-02, -1.906557372460237045e-03, 1.044679437329885330e+00, 1.722603643809275942e-01
1.947399891592095644e-01, 2.233971866494266489e-02, -3.007417960537504646e-03, 1.044679437329885330e+00, 2.765358755368439447e-01
1.808568828335022083e-01, 2.233971866494266489e-02, -4.363179433905679631e-03, 1.044679437329885330e+00, 4.134663504172014781e-01
1.635368484402004996e-01, 2.233971866494266489e-02, -5.907228210128819337e-03, 1.044679437329885330e+00, 5.841612375912467181e-01
1.432749393189104714e-01, 2.233971866494266489e-02, -7.485057569444869552e-03, 1.044679437329885330e+00, 7.836633902842906618e-01
1.212797004989288052e-01, 2.233971866494266489e-02, -8.857854934256611384e-03, 1.044679437329885330e+00, 1.000000000000000000e+00
9.926030895196960580e-02, 2.233971866494266489e-02, -9.758056821673386644e-03, 1.044679437329885330e+00, 1.216336609715709338e+00
7.893918872451305413e-02, 2.233971866494266489e-02, -9.991810189927469860e-03, 1.044679437329885330e+00, 1.415838762408753171e+00
6.155803843082618965e-02, 2.233971866494266489e-02, -9.522226888046242399e-03, 1.044679437329885330e+00, 1.586533649582798411e+00
4.765128596761734198e-02, 2.233971866494266489e-02, -8.457907319329861784e-03, 1.044679437329885330e+00, 1.723464124463156111e+00
3.713664519182314355e-02, 2.233971866494266489e-02, -6.964532742199407676e-03, 1.044679437329885330e+00, 1.827739635619072267e+00
2.958149869677758129e-02, 2.233971866494266489e-02, -5.155407018124419372e-03, 1.044679437329885330e+00, 1.904044169930654951e+00
2.452505706444118791e-02, 2.233971866494266489e-02, -2.969910062838971958e-03, 1.044679437329885330e+00, 1.958266880232111484e+00
2.233971866494266142e-02, 2.233971866494266489e-02, 0.000000000000000000e+00, 1.044679437329885330e+00, 2.000000000000000000e+00
2.452505706444110464e-02, 2.233971866494266489e-02, 2.969910062838921651e-03, 1.044679437329885330e+00, 2.041733119767888294e+00
2.958149869677754659e-02, 2.233971866494266489e-02, 5.155407018124409831e-03, 1.044679437329885330e+00, 2.095955830069344827e+00
3.713664519182308110e-02, 2.233971866494266489e-02, 6.964532742199398135e-03, 1.044679437329885330e+00, 2.172260364380927733e+00
4.765128596761732116e-02, 2.233971866494266489e-02, 8.457907319329860049e-03, 1.044679437329885330e+00, 2.276535875536843889e+00
6.155803843082607862e-02, 2.233971866494266489e-02, 9.522226888046237195e-03, 1.044679437329885330e+00, 2.413466350417201589e+00
7.893918872451297086e-02, 2.233971866494266489e-02, 9.991810189927469860e-03, 1.044679437329885330e+00, 2.584161237591246607e+00
9.926030895196953641e-02, 2.233971866494266489e-02, 9.758056821673386644e-03, 1.044679437329885330e+00, 2.783663390284290440e+00
