# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,ELBESKHBRK,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,24,33
# x,y,z,u,w
1.828416666666666579e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.793483837420625671e+00, 0.000000000000000000e+00, -4.241726481545776695e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.743285161351178614e+00, 0.000000000000000000e+00, -1.033711706767003954e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
1.672643423209077440e+00, 0.000000000000000000e+00, -1.891482823632299054e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.576106525104859823e+00, 0.000000000000000000e+00, -3.063690602944607599e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
1.449331031457813168e+00, 0.000000000000000000e+00, -4.597144662173540536e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
1.291271282418629207e+00, 0.000000000000000000e+00, -6.488888641979531635e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.106317537246473970e+00, 0.000000000000000000e+00, -8.505709344416231832e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
9.052443221175507926e-01, 0.000000000000000000e+00, -1.014786126875267536e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
7.036690791461461814e-01, 0.000000000000000000e+00, -1.094191787243608965e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
5.176584944775908248e-01, 0.000000000000000000e+00, -1.067619061498500943e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
3.588453580444880275e-01, 0.000000000000000000e+00, -9.607735126466189490e-02, 1.000000000000000000e+00, 1.586533649582798411e+00
2.320502095244658947e-01, 0.000000000000000000e+00, -8.103322382009045532e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.363402660586518766e-01, 0.000000000000000000e+00, -6.391708972251855525e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
6.754827626068105051e-02, 0.000000000000000000e+00, -4.582128642270515140e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
2.103542032511049667e-02, 0.000000000000000000e+00, -2.622241741604570964e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.103542032510969176e-02, 0.000000000000000000e+00, 2.622241741604524820e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
6.754827626068053703e-02, 0.000000000000000000e+00, 4.582128642270497793e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
1.363402660586519877e-01, 0.000000000000000000e+00, 6.391708972251858301e-02, 1.000000000000000000e+00, 2.172260364380927733e+00
2.320502095244663665e-01, 0.000000000000000000e+00, 8.103322382009053859e-02, 1.000000000000000000e+00, 2.276535875536843889e+00
3.588453580444883606e-01, 0.000000000000000000e+00, 9.607735126466190878e-02, 1.000000000000000000e+00, 2.413466350417201589e+00
5.176584944775903807e-01, 0.000000000000000000e+00, 1.067619061498500665e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
7.036690791461456262e-01, 0.000000000000000000e+00, 1.094191787243608965e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
9.052443221175507926e-01, 0.000000000000000000e+00, 1.014786126875267674e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.106317537246473526e+00, 0.000000000000000000e+00, 8.505709344416234607e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
1.291271282418628541e+00, 0.000000000000000000e+00, 6.488888641979541350e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
1.449331031457812724e+00, 0.000000000000000000e+00, 4.597144662173546781e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
1.576106525104859823e+00, 0.000000000000000000e+00, 3.063690602944609681e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
1.672643423209078328e+00, 0.000000000000000000e+00, 1.891482823632295238e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
1.743285161351181056e+00, 0.000000000000000000e+00, 1.033711706766982444e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
1.793483837420627003e+00, 0.000000000000000000e+00, 4.241726481545656999e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
1.828416666666666579e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
2.031629917502317362e+00, 2.369127164417169640e-01, 0.000000000000000000e+00, 1.044679437329885330e+00, 0.000000000000000000e+00
1.997555548802431913e+00, 2.369127164417169640e-01, -4.137487720741662989e-03, 1.044679437329885330e+00, 4.173311976788848798e-02
1.948590485463615130e+00, 2.369127164417169640e-01, -1.008308647939214903e-02, 1.044679437329885330e+00, 9.595583006934514658e-02
1.879684740266136300e+00, 2.369127164417169640e-01, -1.845000376808937290e-02, 1.044679437329885330e+00, 1.722603643809275942e-01
1.785520198482873244e+00, 2.369127164417169640e-01, -2.988401610755329549e-02, 1.044679437329885330e+00, 2.765358755368439447e-01
1.661860162755047110e+00, 2.369127164417168807e-01, -4.484171639300178758e-02, 1.044679437329885330e+00, 4.134663504172014781e-01
1.507684669913082587e+00, 2.369127164417169640e-01, -6.329426754472503025e-02, 1.044679437329885330e+00, 5.841612375912467181e-01
1.327276090320721913e+00, 2.369127164417169362e-01, -8.296684880986233968e-02, 1.044679437329885330e+00, 7.836633902842906618e-01
1.131144170408999949e+00, 2.369127164417169640e-01, -9.898481567334173337e-02, 1.044679437329885330e+00, 1.000000000000000000e+00
