alpha CL CD
-15.82 -0.710 0.2014
-14.50 -0.704 0.1783
-13.62 -0.689 0.1616
-12.65 -0.682 0.1444
-11.51 -0.685 0.1287
-10.54 -0.683 0.1116
-9.48 -0.670 0.0932
-8.59 -0.627 0.0717
-7.52 -0.558 0.0521
-6.44 -0.486 0.0356
-5.55 -0.424 0.0273
-4.56 -0.356 0.0221
-3.40 -0.270 0.0172
-2.49 -0.168 0.0151
-1.60 -0.115 0.0154
-0.34 -0.025 0.0159
0.65 0.047 0.0169
1.63 0.125 0.0184
2.63 0.235 0.0230
3.62 0.313 0.0296
4.70 0.391 0.0362
5.68 0.461 0.0476
6.76 0.542 0.0687
7.75 0.617 0.0920
8.72 0.654 0.1121
9.87 0.667 0.1309
10.75 0.674 0.1460
11.81 0.676 0.1618
12.86 0.675 0.1768
13.74 0.677 0.1906
13.57 0.686 0.1877
12.60 0.681 0.1752
11.54 0.680 0.1571
10.48 0.667 0.1401
9.52 0.664 0.1225
8.54 0.645 0.1045
7.56 0.593 0.0818
6.58 0.516 0.0605
5.41 0.435 0.0415
4.51 0.366 0.0332
3.44 0.290 0.0255
2.36 0.204 0.0197
1.37 0.113 0.0158
0.38 0.038 0.0152
-0.70 -0.039 0.0138
-1.60 -0.115 0.0144
-2.67 -0.202 0.0142
-3.67 -0.310 0.0194
-4.66 -0.388 0.0241
-5.47 -0.447 0.0300
-6.45 -0.513 0.0409
-7.80 -0.614 0.0685
-8.87 -0.663 0.0888
-9.75 -0.681 0.1058
-10.81 -0.687 0.1226
-11.77 -0.687 0.1373
-12.74 -0.686 0.1514
-13.80 -0.690 0.1682
-14.77 -0.702 0.1838
-15.73 -0.713 0.2007
