alpha CL CD
-14.68 -0.639 0.1747
-13.63 -0.660 0.1637
-12.66 -0.679 0.1526
-11.61 -0.693 0.1362
-10.82 -0.698 0.1246
-9.67 -0.663 0.0980
-8.60 -0.595 0.0760
-7.53 -0.516 0.0518
-6.91 -0.474 0.0440
-5.57 -0.390 0.0302
-4.59 -0.322 0.0240
-3.61 -0.255 0.0199
-2.54 -0.157 0.0173
-1.55 -0.090 0.0161
-0.49 -0.029 0.0165
0.49 0.029 0.0164
1.47 0.095 0.0178
2.54 0.166 0.0202
3.53 0.255 0.0252
4.60 0.334 0.0318
5.58 0.408 0.0399
6.56 0.477 0.0529
7.63 0.558 0.0723
8.62 0.641 0.0985
9.42 0.683 0.1139
10.65 0.714 0.1364
11.62 0.715 0.1475
12.67 0.706 0.1584
13.73 0.694 0.1696
14.60 0.683 0.1795
15.65 0.659 0.1893
16.62 0.654 0.2020
17.58 0.649 0.2127
18.72 0.640 0.2241
19.60 0.641 0.2360
20.57 0.644 0.2494
21.62 0.643 0.2614
22.68 0.650 0.2762
23.65 0.652 0.2899
24.70 0.660 0.3070
25.67 0.664 0.3207
26.64 0.672 0.3375
27.61 0.676 0.3527
28.75 0.682 0.3725
29.63 0.686 0.3882
29.45 0.684 0.3841
28.49 0.678 0.3664
27.34 0.674 0.3479
26.46 0.670 0.3337
25.41 0.662 0.3180
24.44 0.657 0.3011
23.47 0.653 0.2874
22.33 0.645 0.2708
21.45 0.643 0.2599
20.39 0.641 0.2452
19.60 0.639 0.2349
18.64 0.640 0.2248
17.32 0.649 0.2091
16.35 0.659 0.1964
15.39 0.670 0.1868
14.34 0.689 0.1722
13.46 0.704 0.1618
12.41 0.718 0.1485
11.36 0.715 0.1341
10.47 0.696 0.1189
9.41 0.660 0.1036
8.43 0.606 0.0844
7.54 0.540 0.0652
6.29 0.459 0.0456
5.40 0.391 0.0358
4.33 0.317 0.0269
3.35 0.242 0.0214
2.63 0.182 0.0176
1.21 0.089 0.0146
0.32 0.031 0.0126
-0.75 -0.027 0.0131
-1.82 -0.094 0.0135
-2.71 -0.154 0.0152
-3.70 -0.245 0.0175
-4.77 -0.322 0.0228
-5.57 -0.379 0.0282
-6.82 -0.464 0.0405
-7.89 -0.534 0.0565
-8.87 -0.613 0.0798
-9.94 -0.679 0.1060
-10.82 -0.698 0.1251
-11.88 -0.691 0.1418
-12.84 -0.674 0.1563
-13.80 -0.655 0.1670
-14.59 -0.638 0.1746
